content_hash_id,action_score,reason_code,action_label
content_b138218e86db6a9a,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_ed3e64aa9adc9057,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_fc59e5c199d1ebe4,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_1e2a1dc89f569197,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_4ffeaaf6a24e527c,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_e00439aa726ef5e8,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_25b081b16f984e2f,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_18827bda874fa631,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_64e1a483f3265e1b,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_c1657ad687164e94,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_69f302a9097f841f,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_2d93214d5702a0cb,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_c4afe57aa734fc87,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_07d9c98a420f3a6b,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_4bddd9edaefdd8bd,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_4dd89bdc8977eda8,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_f82c8b40a3c0aeb4,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_fac7fb1ba3b2f959,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_9edc84b1dbe483b5,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_2df05ee07361fcec,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_d144c7eaedec4155,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_e51800d2634e2eaa,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_8b83c97749294243,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_81f00060a27df806,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
